PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,label,split,fold
19.867737,-0.17638029,-4.7242975,4.178263,-0.060618922,-0.04016141,-0.7232765,0.19910616,0.76559234,-0.51569265,1,train,4
19.631433,-0.26028803,-3.8692093,2.9882774,-1.2634004,0.12741508,-1.2484468,0.432437,-0.25359294,-1.0189406,1,train,4
18.807917,-2.0253577,-3.3344386,5.107175,-2.697184,-2.1893985,-1.8177813,1.1201862,-0.54635316,-0.7012814,1,train,4
20.077732,-1.0810717,-4.1243505,6.506911,-3.4442592,-2.7516046,-1.4994189,0.6444946,0.0015887088,0.2533322,1,train,4
18.371975,-2.6428037,-3.0301907,5.2109203,-5.413857,-1.654544,-2.1770887,2.522934,-0.529463,-0.17813,1,train,4
18.704811,-0.5236928,-2.4067187,4.041815,-4.3962607,-0.20296718,-1.9167705,4.23453,-0.6992094,-0.11444945,1,train,4
20.675287,-1.0880525,-1.8900499,4.7931733,-3.328773,-2.0992436,-1.5850748,3.4042487,-0.33054847,-0.48892117,1,train,4
25.164291,8.581088,-3.2075775,3.687064,-1.0819049,-1.3293052,0.5243155,0.4638128,1.6173037,-3.2896676,1,train,4
23.343414,5.1658616,-3.73499,4.1394105,-1.2163734,-2.167237,1.18822,1.6243403,1.1510054,-2.5384462,1,train,4
25.636065,7.4391265,-4.574701,5.2201295,2.5115805,-2.217887,1.126447,2.015403,0.69810414,-2.229494,1,train,4
24.12152,5.83914,-3.5461593,4.447436,2.6378329,-1.372784,0.19064899,0.93375766,0.30604526,-3.6409032,1,train,4
25.024595,6.689857,-1.5911818,2.6519916,-2.4473903,-1.2544199,-0.6965416,6.811792,-2.0213032,-1.4155911,1,train,4
25.460052,8.830737,-2.2946804,2.6401837,-3.2639961,-0.8801783,-1.8212763,6.8712707,-2.5117657,-1.5722952,1,train,4
27.044,6.1767883,-1.2141901,5.067734,-2.8509057,-3.3242364,-0.34222412,3.4250405,-0.4325958,-1.4205705,1,train,4
20.434158,5.480799,-5.607529,2.5473905,-0.5313895,2.0366926,-1.0535202,5.257728,0.67770267,-2.921051,1,train,4
18.323181,1.3251939,-6.362351,2.553383,1.4808013,1.0893853,0.357251,4.2371902,0.29673284,-3.1547906,1,train,4
23.446657,4.5733194,-2.980739,3.7689776,1.5515643,-3.094586,1.3394982,3.2565656,0.29374018,-2.5914762,1,train,4
21.253504,5.2190857,-2.0690982,2.0002275,3.7452798,-1.0945792,0.22555795,2.6490507,0.043556232,-3.1672485,1,train,4
16.83672,3.113002,-0.63924545,-0.25658327,-3.0045516,-0.03785758,-3.3462296,8.129066,-2.9036388,-2.3464887,1,train,4
18.388535,6.7306147,0.1932089,-0.28328297,-4.0859385,1.0901748,-3.8546138,8.494722,-3.657829,-1.2929386,1,train,4
24.291807,4.206058,0.07502022,2.5120287,-2.0693069,-1.5416925,-0.12351542,5.57148,-1.2547926,-2.3354576,1,train,4
8.401948,-2.8998013,3.3786178,-5.061557,-5.290049,1.2521774,-1.0503749,5.5960665,-9.587877,3.668494,1,train,4
8.493932,-2.4179184,5.286591,-6.3729496,-6.444219,1.6031562,-0.66114587,4.5247884,-9.476494,4.8303747,1,train,4
