fold,emissions_kg_co2eq,cnn_train_auc,cnn_train_pr_auc,cnn_train_f1,cnn_train_accuracy,cnn_train_precision,cnn_train_recall,cnn_train_n_samples,cnn_train_positive_rate,cnn_val_auc,cnn_val_pr_auc,cnn_val_f1,cnn_val_accuracy,cnn_val_precision,cnn_val_recall,cnn_val_n_samples,cnn_val_positive_rate,cnn_test_auc,cnn_test_pr_auc,cnn_test_f1,cnn_test_accuracy,cnn_test_precision,cnn_test_recall,cnn_test_n_samples,cnn_test_positive_rate,ocpc_val_auc,ocpc_val_pr_auc,ocpc_val_f1,ocpc_val_accuracy,ocpc_val_precision,ocpc_val_recall,ocpc_val_n_samples,ocpc_val_positive_rate,ocpc_test_auc,ocpc_test_pr_auc,ocpc_test_f1,ocpc_test_accuracy,ocpc_test_precision,ocpc_test_recall,ocpc_test_n_samples,ocpc_test_positive_rate,geo_test_silhouette_all_pcs,geo_test_silhouette_pc1_pc2,geo_test_center_distance_pc1_pc2,geo_test_intra_class_spread_pos_pc1_pc2,geo_test_intra_class_spread_neg_pc1_pc2,geo_test_score_mean_pos,geo_test_score_mean_neg,geo_test_score_separation,geo_test_pred_match_rate
1,0.006564153600565081,0.99990772762335,0.9999086770908484,0.9906166219839142,0.9905437352245863,0.9830395743265713,0.9983113812901047,5922,0.5,0.9789135023048103,0.9782341612063465,0.9321948769462581,0.9315762797769893,0.9243027888446215,0.9402228976697061,1973,0.5002534211860111,0.968575284364758,0.9747365323808452,0.9102231447846393,0.9124050632911392,0.9329787234042554,0.8885511651469098,1975,0.499746835443038,0.9724871606749816,0.973345986572886,0.9186106791083463,0.9204257475924987,0.940552016985138,0.8976697061803445,1973,0.5002534211860111,0.9625321487023616,0.9709377914156428,0.9001618996222343,0.9063291139240506,0.9630484988452656,0.8449848024316109,1975,0.499746835443038,0.287467719443764,0.5389637180225821,32.195332409443274,12.547289917968174,7.2001089828398195,0.7087633150342947,0.19873037347273,0.5100329415615646,0.9063291139240506
2,0.005840188112628345,0.9979580316944778,0.9978201035359067,0.9756429909725771,0.9758527524484971,0.9841924398625429,0.9672407970280311,5922,0.5,0.9856422972324429,0.9859652962179977,0.9283135636926251,0.929620253164557,0.9453781512605042,0.9118541033434651,1975,0.499746835443038,0.939502580195688,0.9507736640354505,0.8568306010928962,0.8672072985301571,0.930011862396204,0.7943262411347518,1973,0.5002534211860111,0.9850885396798051,0.985375405091738,0.9183040330920372,0.92,0.9376979936642027,0.8996960486322189,1975,0.499746835443038,0.9443803933899313,0.9516731225389059,0.8675603217158177,0.8748099341104917,0.9214123006833713,0.8196555217831814,1973,0.5002534211860111,0.21440984714147665,0.4238549655613678,28.341679308107782,13.314324183185432,9.560122928014497,0.6662024737774991,0.2830463560893367,0.3831561176881624,0.8748099341104917
3,0.005960500103596254,0.9977474818708733,0.9977737640624188,0.9756670582312469,0.9755150287065181,0.9696464309539693,0.9817629179331308,5922,0.5,0.9588845271935977,0.9644476801598676,0.8916537065837221,0.8941772151898734,0.9129511677282378,0.8713272543059777,1975,0.499746835443038,0.9669640416694926,0.9667717431981542,0.9010309278350516,0.9026862645717182,0.9171038824763903,0.8855116514690983,1973,0.5002534211860111,0.954679046224399,0.9615553616355083,0.8778135048231511,0.8845569620253164,0.931740614334471,0.8297872340425532,1975,0.499746835443038,0.9526789439179928,0.9561754350799584,0.8629989212513485,0.8712620375063356,0.922722029988466,0.8105369807497467,1973,0.5002534211860111,0.25202964110557524,0.4722546320020863,31.44241543935468,12.76699147415776,10.088573314011914,0.6845807760799977,0.2730277196367697,0.411553056443228,0.8712620375063356
4,0.006104409451331889,0.99840497151262,0.9983592336055873,0.9816115011701771,0.981418918918919,0.9718636213174445,0.9915569064505235,5920,0.5001689189189189,0.9635709568520319,0.9688281500456571,0.9070866141732283,0.9103797468354431,0.9411764705882353,0.8753799392097265,1975,0.499746835443038,0.9655921719191598,0.9673105177691775,0.8853161843515541,0.8916455696202532,0.9397042093287827,0.8368794326241135,1975,0.499746835443038,0.9621168305378832,0.9654443873851376,0.8913978494623656,0.8977215189873418,0.9495990836197021,0.839918946301925,1975,0.499746835443038,0.9640836953266965,0.9659731230992604,0.8756164383561644,0.8850632911392405,0.9534606205250596,0.8095238095238095,1975,0.499746835443038,0.23372189704291593,0.4676754059140822,29.265417076365914,11.519103987234926,10.15009593177986,0.6609318831402354,0.2509364299785544,0.409995453161681,0.8850632911392405
5,0.00612147932705367,0.9984327792838431,0.9984067057534459,0.968811556139199,0.9679108258740078,0.9425103800702651,0.9966227625802094,5921,0.5000844451950684,0.9506776351681168,0.9441862953413976,0.8804515135967163,0.8820253164556962,0.8918918918918919,0.8693009118541033,1975,0.499746835443038,0.981797819474855,0.9845499590198257,0.9398686205154119,0.9397163120567376,0.9375,0.9422492401215805,1974,0.5,0.9431649910373314,0.9407741237929993,0.8633171258779039,0.8718987341772152,0.9247685185185185,0.8095238095238095,1975,0.499746835443038,0.9825985019026473,0.9851210952595181,0.9336143308746049,0.9361702127659575,0.9725576289791438,0.8976697061803445,1974,0.5,0.2887305290842121,0.5751029253582306,30.83704284902297,7.145174168202127,10.240874425554566,0.7028904001859265,0.2671079523414346,0.43578244784449194,0.9361702127659575
mean±std,0.0061 ± 0.0003,0.9985 ± 0.0008,0.9985 ± 0.0009,0.9785 ± 0.0082,0.9782 ± 0.0084,0.9703 ± 0.0168,0.9871 ± 0.0128,5921.4000 ± 0.8944,0.5001 ± 0.0001,0.9675 ± 0.0144,0.9683 ± 0.0159,0.9079 ± 0.0225,0.9096 ± 0.0217,0.9231 ± 0.0218,0.8936 ± 0.0313,1974.6000 ± 0.8944,0.4998 ± 0.0002,0.9645 ± 0.0154,0.9688 ± 0.0124,0.8987 ± 0.0307,0.9027 ± 0.0267,0.9315 ± 0.0089,0.8695 ± 0.0562,1974.0000 ± 1.0000,0.5000 ± 0.0003,0.9635 ± 0.0161,0.9653 ± 0.0165,0.8939 ± 0.0245,0.8989 ± 0.0215,0.9369 ± 0.0093,0.8553 ± 0.0411,1974.6000 ± 0.8944,0.4998 ± 0.0002,0.9613 ± 0.0143,0.9660 ± 0.0132,0.8880 ± 0.0293,0.8947 ± 0.0269,0.9466 ± 0.0234,0.8365 ± 0.0371,1974.0000 ± 1.0000,0.5000 ± 0.0003,0.2553 ± 0.0328,0.4956 ± 0.0606,30.4164 ± 1.5830,11.4586 ± 2.4975,9.4480 ± 1.2843,0.6847 ± 0.0213,0.2546 ± 0.0333,0.4301 ± 0.0484,0.8947 ± 0.0269
