PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,label,split,fold
24.75901,-2.17258,-6.4299126,2.348553,-8.556269,0.21192193,0.2989119,-6.5481906,5.3265815,9.070843,1,train,5
23.252506,-3.1826365,-5.6490426,1.7045271,-8.724658,-0.31155854,0.50668705,-6.1880364,5.3876505,8.477573,1,train,5
19.899946,-4.6311893,-1.7012736,1.0267427,-7.1438932,-1.6557493,-3.2906578,-6.617158,6.8726273,8.033804,1,train,5
27.948448,1.6034982,-0.51208603,7.325364,-9.793409,-3.038215,-2.68555,-7.9785204,8.534959,9.25252,1,train,5
26.104958,0.08104347,-5.5761113,4.0875387,-8.38373,0.46541888,-3.0417747,-7.49545,8.67081,9.828179,1,train,5
24.101337,-1.1513878,-5.376766,2.3423755,-8.036948,1.2741717,-3.11884,-7.989196,8.265775,11.222359,1,train,5
24.002697,-2.7030482,-6.3401732,1.425622,-7.9563622,-1.0626345,-1.3106892,-6.1096544,5.374732,7.2203145,1,train,5
23.999117,-4.844269,-9.3178005,-0.070815615,-8.490435,-1.483823,-1.2690902,-5.426279,3.253334,4.491957,1,train,5
25.561045,-4.304237,-8.828661,1.1810838,-9.733408,-2.2401617,0.4675537,-5.904734,4.3006263,4.395622,1,train,5
25.552052,-1.7878252,-1.1556755,3.7325528,-7.8802896,-3.9757066,-6.0967207,-7.0797563,3.4054072,3.3762636,1,train,5
22.87639,-3.3437371,-1.1769476,1.865576,-6.8517113,-3.4172227,-6.33764,-5.558805,2.7618818,3.2625816,1,train,5
24.384678,-1.4402187,-7.164187,1.7813983,-7.2348394,-0.9401161,-7.0748487,-7.2159333,5.392676,4.929949,1,train,5
21.904026,-4.7098103,-6.865265,0.27025047,-7.592216,-1.2851933,-6.030596,-6.4378967,4.5934687,4.2611556,1,train,5
20.990688,-4.8985686,-5.701013,-0.38767797,-6.2563863,-1.5043709,-5.3825946,-5.5929837,2.92661,2.7186651,1,train,5
23.67357,-1.6687466,-4.6103845,2.2760985,-7.566215,1.149368,2.472806,-4.7877607,4.918107,8.51877,1,train,5
20.640692,-3.1579423,-5.19898,0.8678563,-6.7682514,1.5829262,0.6499203,-5.329572,4.551161,8.164559,1,train,5
25.523174,1.7818813,-1.6296967,4.298576,-6.5803585,-0.84611773,-3.1100357,-5.272331,9.400693,10.640316,1,train,5
24.801298,2.8923278,0.8702353,4.835401,-4.561051,-1.3955699,-4.622853,-4.5196743,8.706313,10.321557,1,train,5
21.349684,-0.29706967,-4.992158,0.48413336,-4.1842194,2.3123844,-4.3315697,-4.856613,6.438109,9.664309,1,train,5
16.958702,-3.057755,-4.2421484,-1.9412651,-2.6513467,3.1409595,-4.613242,-5.2202063,4.461649,8.500769,1,train,5
22.976528,-2.8436406,-4.378851,1.4214208,-7.5534906,-1.7724808,-0.7368989,-5.1578856,4.181591,6.8843665,1,train,5
26.697136,-1.8682253,-9.735132,1.3934672,-7.686504,-1.4771737,-0.71995354,-5.043688,3.5994468,4.3438945,1,train,5
26.279984,-2.216863,-10.951076,0.8343146,-8.001499,-0.710949,-0.14753653,-5.9400063,4.7285895,5.0645432,1,train,5
25.529413,-0.94776464,-2.1286297,3.1468248,-6.279588,-3.315889,-7.600266,-5.9841943,4.3163733,3.9589632,1,train,5
27.352291,0.15992631,-2.8883524,4.123237,-7.2130375,-2.911573,-8.210832,-5.919986,5.2299547,5.142418,1,train,5
27.788538,1.0242751,-8.592354,2.3765712,-7.2840075,-0.20324439,-6.3034644,-7.6007023,5.85006,7.0552926,1,train,5
25.034687,-1.4556712,-8.789427,0.3831424,-6.1417217,-0.2044208,-5.519222,-6.096192,5.4593954,5.340565,1,train,5
26.17132,-0.5071339,-6.7493806,2.1171823,-6.354715,-1.375318,-5.942653,-4.921749,4.181453,4.274901,1,train,5
27.543602,1.9671091,-5.5687976,3.6251996,-7.4522805,0.74956787,3.1430855,-3.8072367,4.2346606,8.396708,1,train,5
21.976292,-1.2492135,-5.128251,1.1271843,-5.249974,1.46869,1.94815,-3.8925679,4.6456795,7.6144457,1,train,5
24.765581,1.9281248,-1.450048,4.0655756,-4.7656736,-0.57225406,-3.554405,-4.7265143,9.540267,10.896921,1,train,5
27.014835,4.080344,1.7170373,7.052954,-5.178492,-2.7427688,-2.8694777,-4.34152,8.605286,8.944977,1,train,5
20.700933,2.024179,-1.0334877,2.0940793,-2.5920987,2.9026794,-2.6347625,-3.70515,8.666966,10.89223,1,train,5
23.592037,4.1267614,-2.1584134,2.5919142,-2.030101,3.5461404,-2.6971579,-3.2412553,8.302366,10.5333185,1,train,5
24.969936,-0.111053675,-1.1164391,4.0281367,-6.9656377,-2.7073367,-0.4517203,-3.800732,6.0180707,7.899813,1,train,5
27.52103,1.0645531,-9.942659,1.3597218,-4.789247,0.18686016,-0.9905763,-4.493209,2.0667028,3.3671236,1,train,5
27.91178,1.6635458,-10.206092,1.9349823,-5.341612,0.17696542,-1.449329,-5.065107,3.692572,4.0559506,1,train,5
27.712519,2.2337992,-2.448177,4.059273,-3.758759,-2.2913043,-8.237839,-7.023002,5.812119,4.496033,1,train,5
29.058825,1.7877473,-2.8793766,4.738031,-6.1252723,-2.773962,-7.0319395,-6.340836,6.240119,5.012845,1,train,5
28.17347,2.6633735,-8.552037,2.1358552,-4.2091784,1.29475,-7.714314,-5.759147,6.0522857,5.766127,1,train,5
25.368809,1.738071,-8.922567,0.6466827,-2.7449453,1.7915915,-6.557476,-4.747138,5.8332033,5.007306,1,train,5
22.172266,-1.2101326,-5.8991323,-0.24428824,-2.717603,0.15192087,-6.5907736,-4.393787,3.4291172,3.6812334,1,train,5
26.20859,8.332387,-3.8054104,2.0094619,4.6102533,3.825676,-2.0929024,-3.826912,-1.7649802,-2.5653448,1,train,5
27.250053,8.850297,-1.6871334,4.1789136,2.7775755,2.381641,-3.5854084,-6.2160215,1.3986255,0.6517087,1,train,5
30.039425,11.746846,1.4656217,6.0112576,4.440739,1.9491882,-7.5663996,-5.4741287,-0.29961506,-4.99641,1,train,5
21.89866,4.4747896,2.1324482,1.2468786,4.795074,1.4572006,-8.85213,-5.510791,-0.8165792,-4.405043,1,train,5
21.048319,6.9695535,-0.16462497,0.22058569,6.7853026,2.5232556,-2.123684,-1.7456968,-1.3860159,-4.0179663,1,train,5
26.230541,10.275549,-2.0503685,2.191419,5.919672,4.1264744,-0.9063365,-2.6078196,-0.84871626,-2.8772125,1,train,5
27.60637,7.239926,1.57736,4.387919,2.799259,0.63388324,-6.251489,-5.6689386,-1.7263833,-5.880594,1,train,5
27.92645,10.542279,-3.9106154,3.280045,4.659881,2.7696774,-1.8460491,-3.9541395,1.8345565,-2.0847874,1,train,5
27.552351,11.4002075,-4.065218,3.0758345,4.8350124,4.104264,-2.6467206,-4.8100142,2.6326754,-0.31088132,1,train,5
26.170912,7.291903,-2.2338634,1.1823462,4.8247404,2.2803402,-8.569377,-5.7243795,4.2681704,-1.0083845,1,train,5
26.73138,7.1231627,-2.6755314,1.7320049,4.0321317,2.4003086,-6.119456,-4.4222503,0.9043258,-3.7619824,1,train,5
31.485039,12.317878,-2.3991013,4.9760966,4.766942,2.148166,-1.150561,-2.635835,-1.0699105,-4.333621,1,train,5
28.336424,11.548287,-2.6436675,4.0470157,4.600297,3.330477,1.1204928,-5.2201757,1.040464,-2.846717,1,train,5
27.875074,8.692989,-2.0499234,3.436986,3.0320966,2.2370882,-3.6445608,-6.3282685,0.29241672,-2.0182495,1,train,5
33.086395,11.85636,-1.9367572,5.932915,0.7638927,0.8963281,-2.7511766,-3.462931,1.1492877,0.06737089,1,train,5
35.477386,15.527379,-1.1636021,8.752221,1.1551001,1.2484162,-1.9987371,-5.3568397,3.9012125,0.37791592,1,train,5
30.364922,11.04788,0.4266239,5.6162,4.146348,2.0251107,-7.612122,-6.6761665,3.279499,-2.2649715,1,train,5
29.329613,8.868703,-0.8129035,4.2272253,3.1462688,1.4256696,-6.476056,-5.3948646,1.989317,-3.1583362,1,train,5
31.82949,12.327332,-2.489026,5.20572,3.6313136,3.3464324,-0.9993453,-4.5277762,0.67008954,-1.5466416,1,train,5
30.624464,10.267699,-4.2943373,4.0825405,2.5988188,4.123938,-0.7277663,-5.8875666,0.45029122,-0.6489064,1,train,5
31.33353,9.562154,-1.8662624,5.8620305,1.0735338,1.7989407,-5.407787,-6.8540654,-0.08425505,-1.6428382,1,train,5
22.470158,2.0056212,-7.415069,-2.4245782,3.1249437,2.9253976,1.1797425,1.8657012,-0.66972345,-2.1504953,1,train,5
22.121088,-0.44224945,-9.001534,-3.714362,1.0202101,2.6379824,2.351834,1.4856827,-1.410532,-1.3159063,1,train,5
25.492844,2.2090302,-11.796887,-1.1312565,-0.53371346,2.7604952,5.0487657,2.826072,-3.5352476,-1.421924,1,train,5
20.906893,-1.3396453,-9.83762,-3.0991151,-0.3828099,3.0885558,1.8420025,0.41031834,-2.2315242,-0.18785907,1,train,5
14.799019,-6.235115,-9.315921,-6.322013,0.30237,2.4328046,3.2705603,0.13444407,-1.9300853,-0.88630277,1,train,5
12.071407,-6.440057,-7.4693117,-6.257066,1.7312402,1.1862965,3.453708,1.1264691,-1.0783572,-0.10924214,1,train,5
19.193668,-3.9526956,-8.881215,-3.0064995,-1.2775849,1.3443187,6.8398957,1.3105441,-2.7720153,-1.648253,1,train,5
