PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,label,split,fold
-1.5405535,-8.000523,11.091837,1.4383311,-1.4738833,-3.819057,-1.9560362,-4.217842,-0.70317507,1.3107269,1,train,2
-4.920391,-7.6241155,9.705537,0.6511301,-2.8565264,-2.2256322,-3.3069162,-4.0530734,-0.47303674,2.6938665,1,train,2
7.2699585,0.5381894,9.562458,0.8758458,3.6845264,-9.75495,3.931642,-6.595596,2.3437493,1.9386692,1,train,2
8.582564,1.547745,8.246382,0.8889311,4.6527534,-10.88259,5.7714877,-7.5402913,2.8317115,1.3371305,1,train,2
0.7718187,-1.6778898,9.182831,1.0345511,-2.8598576,-8.55377,1.6610554,-5.207708,3.2642164,3.8287134,1,train,2
-1.2174193,-0.57897276,9.857748,0.9731959,-0.67005277,-9.051871,0.2377379,-6.64865,1.8013129,4.8314176,1,train,2
10.155173,1.1397059,9.86819,-0.6764985,3.899758,-7.5618086,0.17565556,-6.211285,0.2420192,-1.8681664,1,train,2
-1.445463,-6.451026,3.972203,-3.9000008,-2.2985575,-1.8125253,-2.6120331,-2.9827497,0.33003306,-0.41414216,1,train,2
1.3497275,-4.139793,2.8681574,-5.9950933,-3.3048155,-4.662855,-1.2147994,-3.794115,1.3574927,-0.17891474,1,train,2
12.521492,-1.2816619,-0.25004962,-4.1507096,-3.4900877,-5.205727,3.72662,-2.316695,3.1696062,1.8952577,1,train,2
18.372023,4.1092114,-1.773301,-4.4143453,-4.6152034,-7.1603427,3.033579,-5.5018787,4.405596,0.1341546,1,train,2
2.8494318,-6.7721186,2.3421335,-3.640945,-3.394315,-2.2995517,-2.9093661,-3.9142396,-2.3023694,2.8439085,1,train,2
1.5133559,-7.0139523,3.6769447,-3.0931904,-2.7693722,-3.1326528,-3.3157842,-3.5288827,-0.92642343,2.4079258,1,train,2
7.568961,-1.9258934,1.8096966,-5.2278447,-3.9143515,-6.70744,1.3579469,-1.5748626,2.519154,-1.2208465,1,train,2
5.8646045,-6.435586,1.0446025,-4.57434,-6.410708,2.1800067,2.6834242,-1.7041059,2.7664456,-0.12926437,1,train,2
1.6915417,-7.759282,1.9528067,-5.4325223,-5.9819083,3.5127475,1.6364092,-2.783037,3.3321743,0.39144558,1,train,2
12.5379,-2.4992604,-4.773513,-4.96056,-6.1785564,0.8211718,3.6798408,-3.6032145,4.469562,0.5512224,1,train,2
20.225723,4.5310283,-6.6702533,-6.7056174,-8.597496,2.3535888,4.4999037,-5.82473,8.347886,1.3563032,1,train,2
7.3231506,-4.8774853,-1.4188719,-6.4084888,-7.560681,0.4785467,4.554134,-3.264634,5.4946213,2.3963475,1,train,2
3.2353313,-6.780813,-1.1425403,-7.1711135,-6.3466897,-0.38557044,2.913203,-1.874585,4.41018,-0.011145806,1,train,2
11.491088,1.5608633,-5.5707393,-7.927153,-7.2127066,-1.0084327,7.532062,-2.6692357,7.0795712,-0.7824185,1,train,2
15.648109,-11.000975,-3.6520681,10.157083,5.449046,1.7867632,6.9122887,0.6921026,8.959693,-1.4861166,1,train,2
14.552951,-11.150546,-3.5626354,8.994696,5.039228,1.5145248,5.830057,1.1101886,7.3080463,-2.4283185,1,train,2
11.247195,-12.89948,-3.2178986,8.608234,3.4158247,3.2270904,4.366227,-0.50078064,6.2163105,-0.020949176,1,train,2
13.910515,-11.664092,-3.7264729,10.184511,4.1873593,3.815159,6.8361063,-0.1978551,10.287278,0.7035133,1,train,2
14.525167,-11.336733,-2.7663338,10.40839,6.1381397,3.0824752,4.844591,-0.6796208,6.424346,-1.5594517,1,train,2
11.754864,-12.8678055,-1.3288087,9.644481,6.6379685,3.0894768,3.6992505,-0.11885656,6.3509774,-1.0865983,1,train,2
14.802825,-10.6890545,-2.936274,10.855783,5.4575086,5.722256,6.5788503,1.4762385,8.912467,-1.3000213,1,train,2
20.08075,-6.2027936,-4.6147895,9.020184,4.6989436,0.054434907,6.023982,1.5294048,8.011425,-0.77895766,1,train,2
19.397982,-7.3100996,-5.533431,9.589061,5.155101,0.27637264,4.907826,0.043450247,7.0781846,-1.1417221,1,train,2
16.092857,-8.207909,-2.9504213,8.669598,3.7027879,3.5470908,4.1589026,1.367593,5.7651844,-0.57352775,1,train,2
18.212324,-6.687452,-3.0915108,9.300164,3.573457,4.3529143,3.8861506,0.9526012,5.35997,-0.751014,1,train,2
18.442522,-7.1618752,-2.0761263,10.076266,6.4738436,3.2612853,2.3749745,-0.7004967,5.0095043,-3.8864582,1,train,2
19.889668,-6.9925838,-3.5337832,10.790274,7.9027853,2.0656762,4.3096175,0.14287327,7.032337,-2.5669105,1,train,2
20.69183,-4.587823,-3.2377853,8.445648,5.6371965,3.3354523,6.2956667,2.7774582,9.194861,0.6906956,1,train,2
19.979242,-2.3628392,-5.51435,2.6208417,-1.2940435,-1.650965,3.961183,3.5059311,6.250733,-1.9777503,1,train,2
21.119595,-1.1387901,-6.259816,2.002082,0.61711663,-4.5746846,5.2570405,4.918356,4.7576194,-0.5511324,1,train,2
25.634846,2.2728837,-6.9255314,4.142777,-0.21241666,1.0554825,4.1484685,3.5714474,7.754913,-1.8419305,1,train,2
25.316082,-0.25827846,-7.16288,6.5226917,0.61096686,-0.018774934,5.625118,5.865998,6.1596828,-1.1457536,1,train,2
16.346853,-6.1332703,-4.032564,4.429359,1.3321968,0.06505735,2.2830951,4.483664,2.6940742,-2.608255,1,train,2
16.506084,-6.0451016,-2.9722419,4.8922777,1.6792705,-0.1305817,-0.90813804,2.731896,1.1357414,-4.039555,1,train,2
23.27006,1.5417005,-4.4355054,4.573917,-0.4129194,0.8509625,3.8790617,5.1080937,7.3979263,-3.080654,1,train,2
12.50095,6.6020336,8.097608,-5.2773566,6.69638,0.64208776,4.179228,11.775215,-1.1011342,2.6810374,1,train,2
12.714563,7.8564386,7.6141043,-5.2193284,6.371031,0.77638495,1.8587422,10.967202,-2.5164208,2.06507,1,train,2
27.610262,19.243994,6.130033,-6.425219,10.376299,-3.544461,0.66939706,14.612711,-1.2949032,0.33299947,1,train,2
27.809038,15.996122,5.4283195,-4.0515184,11.977928,-2.5941222,-0.059494495,13.9511595,-1.4021554,0.81500024,1,train,2
11.078169,2.1348836,8.187486,-2.1034276,6.4302306,1.5304428,1.4960551,8.215028,-4.750399,1.6046592,1,train,2
22.186285,11.703112,7.1999965,-4.3905983,7.6459785,-1.2638799,0.30663928,12.909248,-3.4819818,3.6799676,1,train,2
29.323366,17.943785,3.860205,-4.6389484,9.251237,-4.9825206,-1.3677081,13.158407,-4.022296,0.24161331,1,train,2
10.737335,1.381445,2.1582117,-4.6757445,4.8282104,-0.63903844,3.7653322,15.698288,-4.486787,1.3874141,1,train,2
11.697354,3.816122,3.722413,-4.3930235,6.1935606,-1.3627528,3.7596414,14.00901,-2.7401006,0.12756489,1,train,2
21.238152,6.3901896,2.6674564,-1.9061704,9.276507,-2.8178396,3.8958416,16.38441,-4.198531,0.33981875,1,train,2
16.510176,3.0807946,2.7783272,-3.0959485,6.790636,-3.6035542,3.9646332,13.309146,-4.978274,1.5213219,1,train,2
15.517253,1.6481793,2.976406,-1.9992923,6.1717105,-1.7754532,4.9946227,14.488973,-4.041695,3.3716338,1,train,2
18.56576,2.8633907,1.5637941,-0.79394317,5.6246715,-3.7131445,3.1903684,15.49542,-6.56174,4.553722,1,train,2
20.591331,4.701671,0.9903563,-2.0260687,6.2021465,-5.2576265,-0.7961964,13.418273,-6.9356365,0.44124153,1,train,2
6.048194,-4.7017236,3.0824218,-3.2765307,3.416888,-0.14577247,3.4463985,13.004731,-5.6552944,1.2381688,1,train,2
9.189338,-2.9334605,3.3592665,-2.0223784,4.3806715,-0.6362051,3.803356,14.16813,-4.9920907,2.1560209,1,train,2
13.983158,-1.9724082,0.85260826,-1.305239,4.8582783,-3.8083718,4.892027,14.920457,-5.5717654,2.0801058,1,train,2
9.3145,-3.1522527,1.8588212,-2.6596878,5.359956,-3.8439825,5.47187,12.902702,-4.8187346,2.7396019,1,train,2
10.618744,-4.034952,4.2698565,-0.7668523,2.3736181,-1.2662549,1.8139611,12.066549,-5.090086,1.5438212,1,train,2
13.603735,-0.91485214,2.166535,-2.092482,2.170876,-3.2930193,1.5492204,12.660356,-6.990095,3.0883007,1,train,2
19.388771,0.8169272,0.0039932206,0.35120133,5.150276,-5.307963,2.4288995,14.337999,-7.2397995,1.9804335,1,train,2
20.304457,1.246665,2.812887,2.4417,5.070765,-8.194728,-1.7814686,-2.3507133,-5.524938,1.9412178,1,train,2
14.546215,-2.8225658,4.9533777,1.9232255,4.129835,-8.302591,-1.5663401,-1.9147893,-4.909363,4.030117,1,train,2
25.349827,4.4140124,2.0120347,4.4159865,8.619758,-9.580813,-0.6519069,-3.4619272,-2.5299203,-1.6317947,1,train,2
29.064425,9.2890215,1.8030146,3.779023,9.343985,-7.751433,-3.159801,-2.6920588,-2.0949183,-4.9443583,1,train,2
16.343676,-1.957993,3.754351,2.8097248,4.752306,-6.6888027,-0.9423461,-3.5388083,-4.538598,0.83245355,1,train,2
13.264191,-3.2750509,4.234912,1.9177535,4.625075,-7.261318,-0.93629813,-3.036924,-5.8236694,1.9131656,1,train,2
27.962715,8.728175,0.9238859,1.7464981,9.691893,-13.47604,-0.3345207,-4.0630093,-2.741722,0.021137625,1,train,2
16.639723,0.8049718,3.3083103,0.8545016,1.9400557,-8.88708,-3.5911095,-3.902603,-4.6574736,0.95111084,1,train,2
14.954019,-0.8134793,4.18117,0.35874367,2.4727046,-8.267436,-1.7328964,-0.607889,-4.2599072,2.8757713,1,train,2
28.96023,9.110553,1.5165915,1.3292949,5.816174,-9.695099,1.4970413,1.089053,-2.200501,0.22280486,1,train,2
28.644815,8.776816,1.1119174,3.3090959,7.554196,-6.531262,-1.4620734,-0.06364669,-3.029079,-2.8394926,1,train,2
20.936378,2.3640223,2.342625,2.4059958,3.791201,-6.994525,-1.7907307,-2.0748024,-4.931988,1.4819754,1,train,2
21.485468,4.092651,2.3855262,1.5962292,3.961594,-10.401463,-1.233448,-3.4193356,-3.3371563,1.0098256,1,train,2
33.06113,11.829375,-2.7236319,2.878248,7.003388,-12.847548,-2.550603,-3.0288854,-4.1734533,-1.7490577,1,train,2
27.775314,10.025822,-3.109163,-1.4595283,0.0755929,-11.849406,-0.04365211,1.4287406,-5.2017746,3.6128764,1,train,2
20.52858,2.9530628,-0.53035206,-0.24345402,0.04724003,-9.833748,-1.4300609,1.8470719,-5.322072,2.3349555,1,train,2
33.243614,14.249993,-2.1005101,-0.00062682346,5.905475,-12.177273,0.36363876,6.2352443,-4.939353,2.0334547,1,train,2
31.593071,13.282774,-0.43426466,-0.2569018,5.9940686,-10.745097,1.1504558,7.855179,-4.259233,1.5268376,1,train,2
22.57658,7.305214,0.39257672,-0.97410923,0.4771114,-11.30014,-1.06151,2.4131413,-2.891117,1.1297495,1,train,2
24.168623,5.639909,-0.36226863,0.4686796,1.9579643,-11.853891,0.6945795,2.134021,-3.4964721,3.1837904,1,train,2
30.944418,14.890483,-2.60195,-2.0082457,2.029313,-11.047925,-0.96335584,4.135957,-1.5075723,-1.4318844,1,train,2
8.629524,-0.4061499,5.1364627,-3.111633,0.39804953,-8.980258,-0.9770773,-0.25314957,-2.1993868,2.1617148,1,train,2
4.67736,2.157932,3.761903,-5.8291616,-2.310708,-7.918387,1.116639,-1.0916262,0.9466807,2.898518,1,train,2
9.110726,0.5257957,4.662306,-2.1828482,-1.808339,-9.624475,-0.5770191,-2.047083,0.5848473,5.564874,1,train,2
9.521772,-2.8697526,6.3915725,-0.17283726,-0.509526,-7.2041383,-2.422699,-3.6243157,-1.5807959,4.334422,1,train,2
15.571211,3.49354,4.728705,-3.37495,-0.074653774,-9.524405,-5.3619,0.339158,-6.051047,-0.13331144,1,train,2
12.031175,2.4036484,5.5624833,-2.8768837,0.47987083,-10.2003765,-4.7080593,-2.070729,-3.584983,1.07414,1,train,2
10.545195,-3.2946343,4.733567,-1.1731352,-0.0395092,-3.911904,-3.4396448,-2.2275379,-4.800124,3.4428234,1,train,2
13.80612,2.8169708,-0.20904984,-3.1303859,-3.2252445,-14.176103,1.702024,1.7543485,-1.8070161,5.625901,1,train,2
