PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,label,split,fold
31.588547,-0.22269574,16.1516,1.0964724,6.655893,-4.673776,0.40185103,5.4101343,2.5802174,-3.001662,1,train,3
31.237577,-0.10016158,14.817476,2.251283,6.2755666,-5.6397777,1.0843823,3.3624609,2.0959637,-2.416259,1,train,3
38.140152,-3.969937,19.476372,-2.5091584,4.187052,-5.8095155,3.8841367,3.2785463,-0.35849157,0.13318843,1,train,3
36.130253,-3.5775437,19.584246,-3.9981778,1.222419,-6.064496,4.061104,4.884808,-0.024566637,1.1797606,1,train,3
36.436424,-5.589941,19.294867,-1.2978865,6.655209,-1.2303907,1.7877346,5.767646,0.55622005,0.27573273,1,train,3
36.10383,-5.417737,18.373857,0.32085758,7.7092347,-1.860096,0.8595386,6.6449003,1.7901322,-1.4246187,1,train,3
39.37391,-3.3814259,20.098358,0.48766905,6.4389105,-7.3222246,2.0302029,1.12622,2.0009055,1.193099,1,train,3
31.324808,-1.369585,9.212087,7.7367373,6.8794875,-9.965358,-0.67091256,-0.7597951,3.0820286,0.0018112771,1,train,3
34.031857,-1.3776866,12.019052,7.3555074,8.531043,-10.165812,0.096219756,-0.30243653,3.1849973,1.1042385,1,train,3
40.25739,-6.057414,14.272467,2.9526706,2.3429801,-9.974312,2.6800106,-2.1050553,2.0342736,3.7564106,1,train,3
36.396915,-5.848028,10.564244,3.3809316,1.7293873,-8.883181,1.964542,-2.4388368,2.7032597,3.638821,1,train,3
35.38948,-2.205722,13.632748,5.401531,5.9222493,-11.867247,1.5587724,0.8703027,0.8593813,2.1334152,1,train,3
30.781456,-0.6941483,9.858785,7.8267846,7.3706236,-11.085246,-0.10528224,0.8328313,1.6415471,1.4350998,1,train,3
39.762806,-4.0301385,15.734122,3.029312,3.1599247,-13.146068,2.0865297,-2.1128387,3.0185068,3.0304582,1,train,3
27.923002,-0.7483241,13.621447,0.2843978,5.032688,-1.5956135,1.031241,4.4585137,1.1571044,-3.4796402,1,train,3
32.91462,-3.3648074,15.613961,-0.681125,4.7032747,-1.4107091,0.8674725,2.9434626,3.0681283,-3.5252469,1,train,3
36.391075,-4.8670564,17.717047,-4.3073645,0.70483136,-4.268205,3.695073,1.6974103,-0.038256977,0.25403714,1,train,3
30.315111,-3.1053333,13.734157,-4.453711,-1.09823,-4.698097,3.695337,3.8468504,-1.6071758,1.0986142,1,train,3
32.993927,-7.72543,15.466322,-2.1332104,2.539978,-1.24618,2.7717917,5.6927266,-0.18281502,-0.98826504,1,train,3
29.615538,-6.6878643,11.744149,0.037771337,2.0825615,-2.243806,1.9507006,5.3948894,0.6336894,-0.5176703,1,train,3
32.56348,-1.8787731,13.748373,-0.21135259,2.4168217,-7.5133224,2.414657,1.4642246,0.858934,-0.4857912,1,train,3
34.694603,-4.2891803,10.369446,5.890523,5.375394,-8.348305,0.9122148,-2.3458533,2.616233,2.9755876,1,train,3
38.842342,-5.083211,14.538446,5.983289,8.130253,-9.134503,0.99694884,-0.5855197,4.171384,2.8357356,1,train,3
39.519512,-6.529004,15.594903,1.6167419,2.6700144,-8.718873,3.1582732,-0.27510178,1.900132,5.984352,1,train,3
36.77554,-7.757514,13.09362,1.5577648,1.3027735,-7.1255627,2.809301,-0.80857867,1.9797117,4.761082,1,train,3
37.350163,-7.602157,13.43635,2.933588,4.5001116,-6.029985,1.8513961,1.3674412,1.9232498,3.8954494,1,train,3
38.255383,-7.8936653,13.749485,4.3682637,6.840942,-5.9416566,1.5361565,-0.18301894,1.583557,3.8065374,1,train,3
38.726707,-7.5092587,14.058011,1.4281533,0.8115654,-10.43342,2.6282413,-2.5316072,1.6621236,5.067353,1,train,3
34.16911,-4.7813683,14.567208,-0.7266964,4.8266277,1.0399009,0.88754725,-0.636073,1.9130611,-2.3035336,1,train,3
33.83958,-4.682952,14.682231,-0.8975396,4.464138,1.5321939,1.0448223,-1.5000753,3.6301053,-1.7916021,1,train,3
31.955236,-3.8445559,13.477148,-3.9046106,-0.13983709,-2.8121412,4.174044,2.2247014,-1.9351451,0.9318269,1,train,3
29.815815,-1.9930367,13.011515,-4.2442327,-2.3122845,-4.4427195,4.198697,2.1974425,-1.5258372,2.1295269,1,train,3
31.80794,-7.701004,14.862766,-1.7080367,1.8497299,0.70018595,3.4750497,4.6465955,-0.8212473,0.3278584,1,train,3
36.412212,-11.9533615,14.847539,-3.148869,-0.2626404,0.06083381,3.068395,0.9662394,-0.02663717,-0.21704957,1,train,3
39.416306,-3.415592,20.132523,-3.9574478,1.9623747,-4.9542985,3.8426254,-1.5757589,1.7673227,-0.9125521,1,train,3
32.586826,-5.5713496,7.4315114,5.624527,4.588995,-6.1052203,0.5493003,-2.740841,2.7827332,2.6485293,1,train,3
37.842644,-7.6565084,12.069761,4.95861,4.9421244,-7.4171815,1.1949146,-2.0884175,4.8097405,3.8166437,1,train,3
38.044094,-9.124222,13.984907,-0.45690826,-2.7663386,-9.351974,5.3454757,-0.99685365,1.7126433,10.944334,1,train,3
42.23801,-9.632886,16.434267,-1.2288898,-0.6907358,-7.9301476,5.716641,-1.0967696,0.35762075,8.893728,1,train,3
34.831,-8.301412,9.611567,4.2251296,3.530205,-4.85653,1.7686582,-1.1609819,0.4251835,5.316684,1,train,3
33.707775,-7.3895297,8.839556,3.8564026,3.8247437,-5.324937,1.6552578,-0.46256393,0.6449853,4.6339,1,train,3
32.92914,-6.537929,8.815344,3.5696418,0.6099692,-9.293461,2.4289045,-1.9891757,0.8806797,6.628064,1,train,3
18.306543,-1.0470206,-4.414966,-0.19419271,-2.4915924,-0.5190238,-0.67296755,4.92273,-0.34633267,-3.2098427,1,train,3
17.183174,-0.9836478,-4.1271105,-2.598759,-2.2396605,0.32689774,-0.5387812,8.987522,0.3866475,-3.6550136,1,train,3
21.414886,-0.7349907,-0.6188377,-4.0702686,-4.525149,-2.8074687,0.6521674,3.9425912,0.0837766,-0.90146434,1,train,3
18.32306,2.4314299,-3.3297713,-2.020209,-6.4468684,-4.9030757,0.15047388,2.978322,-0.054555077,-0.6705481,1,train,3
18.670576,0.12259548,-3.5828762,-1.3622369,-2.4401917,-0.15451422,-0.5900459,7.5594487,-1.9587731,-3.575339,1,train,3
15.442369,-0.6093401,-6.785341,-1.2403781,-2.8999116,1.4761833,-1.3769395,6.696952,-2.284133,-5.1029606,1,train,3
20.866138,0.55537164,-1.6514221,-2.9504168,-4.8921533,-4.1569247,0.19994222,4.1155105,-1.061471,-2.2808185,1,train,3
22.11787,-3.2551732,-1.5707079,0.88466984,-1.3945165,-0.6181999,-0.15680987,4.8735037,-0.25930554,-1.3948046,1,train,3
20.817131,-4.43312,-3.652336,0.12739213,-2.3522716,-0.64183366,-0.53015786,6.641411,-0.53028315,-1.7150394,1,train,3
22.004326,-2.235551,-1.3953129,-0.6579225,-2.399881,-3.224882,0.27917975,6.602811,-0.7428054,0.81755656,1,train,3
25.560696,-2.1612833,1.5449625,-1.6557804,-3.8465683,-4.177243,0.9005785,4.2394996,0.10192156,1.0229756,1,train,3
24.814613,-2.6352975,-0.74722326,0.1010362,-0.57764995,-0.14491098,-0.3814563,3.0174232,-0.27479267,-1.0644562,1,train,3
22.307596,-2.5941586,-2.1233382,-0.5858476,0.73657984,2.3798282,-0.3097568,3.9210193,-1.1013006,-2.6066036,1,train,3
27.996113,-3.642943,2.8679366,-1.4527639,-0.18916601,-2.9765751,0.084067084,5.9919405,-0.7703127,-3.859953,1,train,3
25.560661,-4.5004635,0.8719564,-1.1900113,-0.87463874,-0.41371274,-0.096494846,4.496789,0.8527093,0.048488583,1,train,3
22.208164,-3.044044,-0.63278145,-0.7383655,-1.2063308,-2.046098,0.18772547,5.225823,1.2359627,2.7572253,1,train,3
26.442848,-3.6812072,1.2780292,-2.1954439,-3.4722304,-3.7973783,1.9605794,7.5039077,-0.55773175,3.0286448,1,train,3
25.179934,-2.3139737,0.84605527,-1.2560424,-4.751135,-5.2233624,1.2700166,3.8831062,0.21548729,2.471269,1,train,3
26.70948,-3.5164964,1.2066517,-1.9251866,-0.79456705,0.43159923,-0.11257513,3.7069974,1.0055696,0.15406424,1,train,3
24.307585,-5.218167,-1.9384173,-0.80670965,-0.4387612,2.491353,-1.2893207,4.766138,0.9143025,-1.7644868,1,train,3
30.182455,-3.846141,4.179147,-2.2359471,-2.1866248,-4.1710763,0.24717876,3.2276852,1.8438945,0.657232,1,train,3
-4.236164,5.442912,-1.5829529,-1.087191,3.5878336,3.014381,-2.6596076,3.0694928,5.457307,-0.30533737,1,train,3
-5.710682,3.5824578,-2.7982583,-1.6313902,2.954926,3.267974,-1.7572465,2.0873296,6.3095093,-0.9703899,1,train,3
-0.4048202,5.967783,2.2756543,-5.061508,3.4315007,5.157357,-4.519348,2.3491583,6.822777,-1.326533,1,train,3
1.3231094,6.420659,1.4029775,-2.5457203,4.0059605,4.56317,-6.0586944,4.672758,7.5494123,0.12011659,1,train,3
-7.1480684,1.8312933,2.4406264,-2.3336537,2.4243681,5.122645,-5.122704,2.5272417,5.322648,-2.6132326,1,train,3
-10.528534,1.9217275,4.7038336,-5.014384,3.8357422,4.3887234,-6.277388,2.9917998,3.6684194,-2.4111257,1,train,3
6.2501593,5.9716406,3.538269,-6.2511845,3.165889,3.006909,-3.7992399,4.47222,5.0456324,-0.70798826,1,train,3
3.1572192,1.4640996,-3.6868973,-7.123826,-1.8171377,3.373342,-0.006001945,2.4135287,1.1716074,0.84910786,1,train,3
4.56917,0.09295607,-0.3438158,-8.79888,-1.9654617,6.6172385,0.13317926,0.7549888,2.64473,0.59256923,1,train,3
