fold,kg_co2eq,kg_co2eq_cumulative
1,0.006569969409533017,0.006569969409533017
2,0.006004291001932141,0.012574260411465157
3,0.005988516528005974,0.018562776939471132
4,0.005974592975690051,0.024537369915161183
5,0.0059604982737974386,0.03049786818895862
